gid_nba,game_date,xid_possession,xid_chance,team_nba_off,team_nba_def,period,gameClock_start,gameClock_end,startType,outcome,score_margin,ptsScored_team,shot_fga,shot_fg,shot_fga3,shot_fg3,shot_qSP,shot_m_region,fouls_def,fouls_def_shooting,fta,fta_shooting,team_nba_winner
0022101051,2022-03-18,dfaa85ce-a45b-5f5e-b1e4-c304a44765fe,faa7d9fc-5e60-56bc-aae3-32f22a9f1d65,LAL,TOR,4,8.68,0.44,TO,FGM3,-3,3,1,1,1,1,27.8303776467,ATB,null,null,null,null,LAL
0022101130,2022-03-28,bb6b9a80-3123-5bf8-a4bd-66abe4af05d2,519653b8-fb0a-5a9c-b878-d04ae40bb48f,OKC,POR,4,8.9,5.48,SLOB,FGM3,-3,3,1,1,1,1,39.6462242718,ATB,null,null,null,null,OKC
0022100420,2021-12-15,1f7cf456-ec2c-5699-ab26-4b09663f640b,a80ed28e-9dda-522b-a323-e493070b016b,LAL,DAL,4,5.36,2.08,FGORB,FGM3,-3,3,1,1,1,1,56.1695390711,Corner,null,null,null,null,LAL
0022100716,2022-01-25,8b4dec8f-ede7-5bc3-b446-415af9d1bd54,316e96c1-5b46-59e5-922c-a85869ee2b58,LAC,WAS,4,8.2,1.94,DEFOB,FGM3,-3,4,1,1,1,1,30.6764693413,ATB,1,1,1,1,LAC
0022100683,2022-01-20,86aa3ee9-aa92-5c50-a678-4e429b90b164,22044b40-100d-5695-925b-6ca683bc375e,IND,GSW,4,9.44,5.1,SLOB,FGM3,-3,3,1,1,1,1,33.994740587,ATB,null,null,null,null,IND
0022100967,2022-03-06,dbaad245-b25e-5619-8ed1-b2f5733fd2c7,908d500a-c99f-5933-9afb-a4faceb9bb6b,DEN,NOP,4,17.9,14.76,FTDRB,FGM,-3,2,1,1,0,0,95.865623064,RA,null,null,null,null,DEN
0022101149,2022-03-31,290db0d7-3dfa-5479-b805-f7871d9aef04,41644791-c1a8-57f9-8862-a36798ed70b8,CHI,LAC,4,11.8,9.38,SLOB,FGM,-3,2,1,1,0,0,92.0673707447,RA,null,null,null,null,CHI
0022100420,2021-12-15,1f7cf456-ec2c-5699-ab26-4b09663f640b,b1496207-ee7c-5ed2-ac7a-8fa036f83449,LAL,DAL,4,17.96,5.36,FGDRB,FGX3,-3,0,1,0,1,0,43.8328654604,ATB,null,null,null,null,LAL
0022000862,2021-04-18,525f1cc6-d59f-524c-b076-066efd00ab06,4ab79120-0e5f-5da6-981b-5c389982fada,NYK,NOP,4,7.8,2.34,SLOB,FGM3,-3,3,1,1,1,1,57.1346618156,Corner,null,null,null,null,NYK
0022000614,2021-03-16,9b844f2b-0aae-5c45-aec4-62be395d40ee,e7907454-bdf7-5992-a055-6342097379f6,POR,NOP,4,6.9,5.24,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,POR
0022000310,2021-01-31,ca0d7b8b-3f0e-5d6d-a339-68a1922a8dd8,d10db65e-8c5a-570a-9e3d-386c309acc7d,WAS,BKN,4,23.3,14,FTM,FGX3,-3,0,1,0,1,0,30.0264332342,ATB,null,null,null,null,WAS
0022000100,2021-01-04,e067816b-bd39-5b24-9467-23109b5a6677,2a05e45d-80fc-59ed-87dc-57c4d4acb837,IND,NOP,4,13.98,7,TO,FGM3,-3,3,1,1,1,1,42.4065180874,ATB,null,null,null,null,IND
0022000837,2021-04-14,dacc150c-a56c-5e2b-874e-b864b62f17fa,b52a60a8-af58-5a0d-8588-718f6de7c37f,DAL,MEM,4,12.6,3.3,SLOB,FOU_S,-3,1,0,0,0,0,null,NRA,1,1,2,2,DAL
0022000524,2021-02-28,516af352-49bc-5b8c-b65c-288e349dbcb2,93432736-3633-5312-9f8f-48df0a7c9f42,BOS,WAS,4,19.7,15.04,SLOB,FGM,-3,2,1,1,0,0,61.5136615467,RA,null,null,null,null,BOS
0022000216,2021-01-20,751b8bbf-25f8-5798-8f50-b1ed7bdbb0a4,a81fabaf-5023-5109-b0f9-07ce03d96248,CLE,BKN,5,18.3,14.72,SLOB,FGX3,-3,0,1,0,1,0,31.9811271629,ATB,null,null,null,null,CLE
0022000216,2021-01-20,f2424121-dded-5991-b187-a612319da9d0,f728be90-f8f2-5524-88a0-ac8fe8a20712,CLE,BKN,5,5.28,1.26,SLOB,FGM3,-3,3,1,1,1,1,28.3768181677,ATB,null,null,null,null,CLE
0022000248,2021-01-23,245ad01e-5311-5f3f-9159-13d0ac84390d,e05ff89c-cf36-5e6a-a510-76d0a7c0132d,DEN,PHX,4,12.2,0,SLOB,FGM3,-3,3,1,1,1,1,23.6721657686,ATB,null,null,null,null,DEN
0022000545,2021-03-03,56de6968-57b4-53f6-92dc-9041dbae8109,7cc945f6-5ca9-50be-b7a7-8ccf479b096e,PHI,UTA,4,21.54,6,FTM,FGM3,-3,3,1,1,1,1,36.9541428773,ATB,null,null,null,null,PHI
0022000216,2021-01-20,f2424121-dded-5991-b187-a612319da9d0,ac3b3d09-b542-571a-acf3-7aee411750ba,CLE,BKN,5,8.94,5.28,FTM,FOU_N,-3,0,null,null,null,null,null,null,1,0,null,null,CLE
0022000874,2021-04-19,290e77f1-06af-563c-910c-a2d7e0a3c519,1cb3d59b-4fd0-5d5c-9573-ef8fc0e10fd5,DEN,MEM,5,20.48,12.08,FGDRB,FGM3,-3,3,1,1,1,1,44.6541713605,ATB,null,null,null,null,DEN
0022000798,2021-04-09,0a43fff2-0102-5cda-8fbb-3b0c013e4190,ec974529-4209-578f-b0c9-8b3dead38b87,WAS,GSW,4,19.5,8.8,FTM,FGX3,-3,0,1,0,1,0,45.6997517395,ATB,null,null,null,null,WAS
0022000798,2021-04-09,0a43fff2-0102-5cda-8fbb-3b0c013e4190,82df71a9-5b84-5359-9616-7d5131992fb7,WAS,GSW,4,8.8,6.16,FGORB,FGM3,-3,4,1,1,1,1,43.3006380744,Corner,1,1,1,1,WAS
0022000637,2021-03-19,2f899fc3-269a-5e9b-9601-724d9d10251f,9e36692e-32f1-55c4-8cc0-458a3af197b8,DEN,CHI,4,16,0.46,FTM,FGM3,-3,3,1,1,1,1,55.5162542038,Corner,null,null,null,null,DEN
0022200795,2023-02-04,950e7440-2032-5f72-bb56-a3ff4e3f2fcb,b7134e06-1c4c-55c0-80ec-a062fa48d0c1,LAC,NYK,4,18.92,5.68,FGM,FGX3,-3,0,1,0,1,0,46.6069458704,ATB,null,null,null,null,LAC
0022201052,2023-03-17,43b95de4-f6aa-53cd-a9ac-10e80ecf84c3,ff94cc91-b087-5416-99d4-5319f90e0da7,MEM,SAS,4,7.84,1.8,TO,FGM3,-3,3,1,1,1,1,50.1808728175,Corner,null,null,null,null,MEM
0022200512,2022-12-27,7fc9a4e0-586d-53e1-a9ab-eccf9173d818,00b8af33-d52b-575b-a678-ab7308ba2161,DAL,NYK,4,7.7,4.24,FTM,FOU_B,-3,1,null,null,null,null,null,null,1,0,2,0,DAL
0022200690,2023-01-20,bd471bcd-a727-5789-833b-0e3c63ce4d45,7572e2c6-7e1e-5042-80a4-87d299ebf80b,LAL,MEM,4,17.8,12.94,SLOB,FOU_S,-3,2,0,0,0,0,null,NRA,1,1,2,2,LAL
0022200117,2022-11-02,abadd244-b16d-539c-ab6f-4ae0f5bc07b8,f961b8c6-769a-5d03-8ea8-805c73c44914,LAL,NOP,4,1.3,0,SLOB,FGM3,-3,3,1,1,1,1,32.0052370141,Corner,null,null,null,null,LAL
0022200552,2023-01-02,4cd9dff1-3d72-5fd9-ab46-da8f00300bc0,3c6c521c-9035-556d-96c8-e12a4a2b75a0,CLE,CHI,4,18.6,8.94,SLOB,FGM,-3,2,1,1,0,0,31.4632946415,NRA,null,null,null,null,CLE
0022200558,2023-01-02,95fbdb12-335e-593c-a7a4-19a7daff739d,9410fdf4-56af-5f07-b169-f49a1cd01277,GSW,ATL,4,6.68,2.88,FGORB,FGX3,-3,0,1,0,1,0,43.4460449424,Corner,null,null,null,null,GSW
0022200117,2022-11-02,6b3a2b1f-eee2-5623-96ff-f62551cedcf5,3c7f1524-3d29-5582-a246-48f60e54e227,LAL,NOP,4,7.8,3.06,SLOB,FGX3,-3,0,1,0,1,0,57.6796704712,Corner,null,null,null,null,LAL
0022200558,2023-01-02,95fbdb12-335e-593c-a7a4-19a7daff739d,de30fc91-3dc1-5fca-905e-5591acdf0cf6,GSW,ATL,4,9.5,6.68,SLOB,FGX,-3,0,1,0,0,0,34.8403119488,Mid,null,null,null,null,GSW
0022200902,2023-02-24,1610d0fd-ca50-5e34-ad49-b71bbd27b3b0,3ddf706f-fbb9-5919-8438-9e358ffa9994,SAC,LAC,4,8.5,1.12,SLOB,FGM3,-3,3,1,1,1,1,54.6679708972,Corner,null,null,null,null,SAC
0022200795,2023-02-04,950e7440-2032-5f72-bb56-a3ff4e3f2fcb,5b383867-c3d1-5942-b6af-ab14ce26cecc,LAC,NYK,4,5.68,0,FGORB,FGM3,-3,3,1,1,1,1,43.7982522683,ATB,null,null,null,null,LAC
0022200558,2023-01-02,95fbdb12-335e-593c-a7a4-19a7daff739d,7a0ddaf5-2745-5c26-9962-5b84bc4ce748,GSW,ATL,4,2.88,0.68,FGORB,FGM3,-3,3,1,1,1,1,52.1314505439,ATB,null,null,null,null,GSW
0022200225,2022-11-18,e30f7f1e-3f64-5f91-bc9f-2a8a3a799923,a02242cd-56c0-5adb-be0c-0302dfc983bf,CLE,CHA,5,22.5,16.92,SLOB,FGX3,-3,0,1,0,1,0,33.0784163082,ATB,null,null,null,null,CLE
0022200630,2023-01-12,166138eb-3caa-5433-8bc2-c71c19012eed,7631b2e2-bb82-5aae-974a-83aaf2165d07,DAL,LAL,4,11.8,6.02,SLOB,FGM3,-3,3,1,1,1,1,38.7105462821,ATB,null,null,null,null,DAL
0022200749,2023-01-28,fffbddcb-f0a4-5456-bf5e-597de76a85f9,f6b15504-7db1-5987-aa21-f2d38ac78fe5,BOS,LAL,4,14.8,6.02,FTM,FGX3,-3,0,1,0,1,0,52.3955067515,Corner,null,null,null,null,BOS
0022200225,2022-11-18,e30f7f1e-3f64-5f91-bc9f-2a8a3a799923,8e349fa9-919f-5e79-8463-08c7c87fbde3,CLE,CHA,5,16.92,13.16,FGORB,FGM3,-3,3,1,1,1,1,54.3102392807,ATB,null,null,null,null,CLE
0022200902,2023-02-24,a71dc042-836f-506a-b59a-61ff336b8c33,bd26f314-17db-57df-b849-cd0bdb9cbc40,SAC,LAC,4,15.2,9.98,SLOB,FGM,-3,2,1,1,0,0,63.5455227318,RA,null,null,null,null,SAC
